     1.000      1.000      0.000      1.000      0.000          *          *      0.695      0.352      0.496 1 104
     1.000      2.000      1.000      1.000      1.000      2.000      0.000      0.999      0.337      1.058 1 107
     1.000      1.000      2.000      0.000      1.000      1.000      2.000      0.875      0.337      0.664 1 110
     1.000      3.000      2.000      1.000      2.000      1.000      3.000      1.364      0.337      1.835 1 119
         *      0.000      1.000      1.000      1.000      0.000      3.000      0.779      0.368      0.000 1 125
     2.000      0.000      3.000      1.000          *      3.000      3.000      1.563      0.361      0.423 1 128
     3.000      0.000      0.000      0.000      3.000      3.000      3.000      1.358      0.337      0.000 1 127
     1.000      1.000      0.000      1.000      1.000      2.000      0.000      0.809      0.337      0.632 1 122
     0.000      1.000      1.000      0.000      0.000      2.000      3.000      0.599      0.337      1.879 1 103
     3.000      1.000      3.000      3.000      3.000      3.000      2.000      2.237      0.337      2.302 1 132
         *          *          *          *          *          *      2.000      1.312      0.599      0.828 1 101
     1.000      0.000      2.000      1.000      1.000      1.000      1.000      0.923      0.337      1.248 1 101
     0.000      0.000      1.000      0.000      3.000      2.000      2.000      0.858      0.337      0.751 1 129
     0.000      0.000      0.000      0.000      0.000      0.000      2.000      0.197      0.337      1.336 1 125
     0.000      2.000      0.000      0.000          *      1.000      0.000      0.434      0.361      1.540 1 125
         *      2.000      2.000          *          *          *      2.000      1.490      0.490      0.641 1 130
     2.000      0.000      1.000      1.000      0.000      2.000      0.000      0.884      0.337      0.556 1 131
     0.000          *          *          *      0.000          *      2.000      0.623      0.432      1.202 1 116
     2.000      3.000      3.000      1.000      1.000      3.000      1.000      1.595      0.337      0.677 1 125
     2.000      2.000      2.000      0.000      3.000      1.000      2.000      1.365      0.337      1.589 1 118
     1.000      2.000      0.000      0.000      1.000      0.000      0.000      0.550      0.337      1.735 1 106
     0.000      1.000      0.000      1.000      0.000      0.000      2.000      0.441      0.337      0.478 1 110
     1.000      2.000      3.000      1.000      1.000      3.000      2.000      1.400      0.337      1.879 1 101
     0.000      0.000      0.000      0.000      0.000      1.000      3.000      0.325      0.337      1.104 1 115
     3.000      3.000      3.000      2.000      1.000      3.000      1.000      1.925      0.337      1.255 1 108
     0.000      2.000      3.000      0.000      0.000      3.000      0.000      0.856      0.337      0.965 1 131
     2.000      2.000      3.000      3.000          *      2.000      3.000      2.026      0.361      0.000 1 131
     1.000      1.000          *      2.000      3.000          *      2.000      1.561      0.369      0.505 1 125
     1.000      1.000      2.000      0.000      3.000      2.000      3.000      1.255      0.337      0.936 1 126
         *      1.000      0.000      1.000      0.000      3.000      2.000      0.829      0.368      0.445 1 119
     2.000      3.000      3.000      0.000      3.000      0.000      3.000      1.516      0.337      0.770 1 126
