1	2	1	2	1	2	3	3	1	1	3	4	2	0	0	1	1	2	2	2	2	3	2	1.1457	121
1	0	0	1	0	1	0	3	1	1	1	1	0	0	0	1	0	1	1	3	3	2	1	0.9419	107
0	0	3	2	.	2	0	.	.	.	.	.	.	0	0	0	0	.	.	.	.	.	.	0	107
3	0	0	0	3	3	3	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	.	0	127
1	0	.	.	3	2	3	0	2	2	2	1	2	0	0	0	0	2	2	3	1	4	2	0.2999	112
0	.	2	0	2	.	2	1	3	2	2	3	2	0	0	1	1	0	1	2	2	2	1	0.4571	110
1	1	0	1	1	2	0	1	1	3	3	3	1	0	1	0	0	2	1	2	4	4	2	0.5509	122
0	1	1	0	0	2	3	0	1	1	1	3	1	1	0	0	1	2	2	4	4	4	2	1.6382	103
1	1	1	0	1	1	3	2	2	1	4	3	1	0	0	0	0	2	2	3	4	3	2	1.418	125
3	1	3	3	3	3	2	2	3	3	3	3	0	0	0	1	1	2	2	2	3	3	2	2.0076	132
.	.	3	.	3	3	2	.	.	.	.	.	.	.	0	.	.	.	.	1	3	.	.	0.9799	124
.	.	.	.	.	.	2	3	1	1	2	4	3	1	1	1	1	2	3	2	2	3	4	0.7216	101
1	0	2	1	1	1	1	0	1	2	3	3	0	1	1	0	1	3	3	2	1	4	1	1.0883	101
0	1	1	0	0	.	2	0	1	1	2	1	1	0	0	1	1	1	1	3	4	4	1	0.9007	112
0	0	1	0	3	2	2	3	3	3	4	3	1	.	0	1	1	1	0	2	1	1	0	0.6549	129
0	0	0	0	0	0	2	2	1	2	4	3	2	0	1	0	1	2	1	3	4	3	2	1.165	125
.	.	2	2	3	0	0	1	3	3	3	3	3	0	0	1	1	1	2	3	3	3	2	1.0241	131
0	3	1	0	2	1	0	2	3	3	4	3	1	0	0	1	0	1	2	3	3	3	1	1.3764	119
0	0	1	1	1	0	0	2	1	3	1	3	1	1	1	1	1	3	3	2	2	4	3	0.9319	116
0	2	0	0	.	1	0	3	2	2	2	2	1	0	0	0	1	0	1	3	3	4	2	1.3433	125
.	2	2	.	.	.	2	3	3	3	3	3	1	0	1	0	0	1	1	3	2	2	1	0.5592	130
.	3	0	.	3	2	3	3	1	3	2	3	3	0	0	1	0	3	3	1	1	2	0	1.8694	103
.	0	3	3	1	1	2	4	4	4	4	3	1	1	0	1	1	1	1	2	1	1	2	1.2327	114
2	0	1	1	0	2	0	3	2	3	3	2	1	0	0	1	1	2	3	2	2	4	2	0.4849	131
0	.	.	.	0	.	2	2	1	2	2	4	2	.	0	1	0	1	2	2	2	2	0	1.0485	116
1	1	1	3	3	0	3	3	3	3	4	4	2	0	0	0	0	2	3	2	4	3	1	1.4578	116
1	1	0	0	3	.	3	1	3	4	4	4	4	0	0	0	0	0	1	1	1	4	0	0.1412	108
2	3	3	3	3	3	3	.	.	.	.	.	.	0	0	0	0	.	.	.	.	.	.	0	118
0	1	1	1	1	0	2	1	3	4	3	2	1	0	0	1	0	0	1	3	4	2	2	0.9431	126
2	1	0	.	0	0	2	.	.	.	.	.	.	1	0	1	0	.	.	.	.	.	.	0	129
2	0	2	3	3	1	1	3	3	3	3	3	3	0	1	1	1	1	1	2	2	2	2	0.4955	126
0	1	1	2	0	2	0	1	1	2	1	1	1	0	0	1	1	2	1	4	4	4	1	0.2936	125
2	3	3	1	1	3	1	1	1	1	1	0	1	0	0	1	1	3	2	4	5	4	2	0.5902	125
1	0	0	1	1	1	0	3	1	2	1	1	1	0	0	1	1	1	1	3	4	5	2	0.6702	114
0	0	2	2	1	0	0	1	4	4	3	4	2	.	1	.	.	2	1	1	2	4	0	0.6246	127
0	0	1	1	3	1	3	3	3	3	3	1	3	0	0	0	0	3	2	1	2	4	2	1.3851	127
2	2	2	0	3	1	2	4	3	3	4	3	0	0	1	1	1	0	1	2	2	3	2	1.3854	118
1	2	0	0	1	0	0	1	4	2	3	4	3	0	0	0	1	1	1	1	1	2	1	1.5125	106
0	1	0	1	0	0	2	3	2	1	1	3	1	0	0	1	1	2	2	1	1	2	2	0.4169	110
1	3	0	3	3	0	3	3	4	4	3	2	4	0	0	0	1	3	3	1	2	4	4	0.312	118
1	2	3	1	1	3	2	0	3	0	3	4	0	0	0	0	1	2	2	1	1	5	4	1.6385	101
0	0	0	0	0	1	3	3	1	2	3	3	1	1	1	1	1	2	2	3	3	3	2	0.9627	115
3	3	3	2	1	3	1	3	3	3	4	4	3	0	0	0	0	3	2	2	4	4	2	1.0944	108
0	1	.	1	.	.	2	3	2	1	3	3	2	0	1	0	0	1	1	2	2	2	1	1.7961	117
2	3	1	1	0	2	0	4	1	2	3	1	0	1	1	1	0	2	3	2	2	4	2	0.4052	123
3	3	2	1	3	3	3	1	1	3	1	1	1	0	0	0	0	1	1	4	4	4	2	0.8775	118
0	2	3	0	0	3	0	3	4	3	4	3	0	0	0	1	1	2	2	1	1	4	2	0.8419	131
0	1	1	0	0	2	.	3	3	3	3	3	4	0	0	1	1	2	2	1	2	2	2	0.291	116
2	2	3	3	.	2	3	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	.	0	131
.	.	.	.	1	.	3	3	4	4	4	4	3	0	0	1	0	1	1	2	2	4	0	0.2055	107
1	1	.	2	3	.	2	3	3	1	4	3	0	0	0	0	0	0	2	2	2	2	0	0.44	125
