1	3	2	1	1	3	2	3	119	0.5075
1	1	1	1	1	1	2	0	110	0.5673
2	3	.	3	.	3	3	2	129	1.1843
1	1	2	2	2	2	1	3	112	0.6207
2	1	1	0	1	0	3	3	106	1.0968
1	1	1	3	.	3	.	3	121	1.6213
1	1	2	0	2	1	1	2	131	0.3165
1	3	3	3	.	3	3	3	120	2.7627
1	2	1	0	3	0	2	3	119	0
2	.	2	.	1	.	.	2	113	4.3396
2	2	1	1	3	1	0	2	131	3.68
2	2	2	3	3	3	3	0	108	0
2	2	0	1	1	1	1	2	107	1.3836
2	1	3	1	2	1	1	2	131	0.1713
1	2	2	3	1	3	3	0	126	0.7273
1	.	0	1	2	.	1	0	113	0.8658
1	0	1	0	2	2	1	3	118	0.2099
2	.	.	1	.	.	.	1	132	1.658
1	1	1	2	2	1	2	2	124	1.2323
2	0	2	1	2	1	3	3	124	0
2	3	3	2	1	1	2	3	118	0.1921
2	.	2	1	2	1	2	3	122	0.7576
2	3	1	1	3	2	0	2	119	1.1033
2	3	1	3	2	1	2	1	118	0.7723
2	3	3	3	3	3	2	3	126	1.3239
2	2	1	1	2	2	1	0	117	0.4815
2	1	1	1	1	0	1	0	123	1.8545
1	0	3	3	1	0	3	3	115	1.3092
1	0	1	0	1	0	2	1	119	1.4371
1	2	1	2	1	1	3	.	118	0.276
2	0	0	2	2	2	.	2	119	1.3039
1	2	1	1	1	2	3	2	126	0.3135
2	1	2	2	2	0	0	3	110	0.6408
2	0	1	0	1	2	0	0	129	2.3279
1	1	1	1	2	2	2	3	116	0.1942
2	0	.	3	3	2	0	3	107	2.6568
1	2	1	0	1	3	3	0	105	1.0416
2	1	2	1	1	2	2	2	131	1.0313
1	2	3	3	3	3	3	3	120	0.3565
1	0	2	2	.	2	0	0	113	0.9089
2	0	1	0	1	0	1	2	121	0
2	1	2	2	0	1	.	3	104	1.64
2	1	2	1	1	1	0	3	120	0.8008
2	1	1	1	2	1	1	3	107	0.9481
2	0	1	2	1	1	0	0	119	0.2573
2	1	0	0	0	0	0	0	133	0
2	3	0	3	3	3	.	0	118	0.1886
2	.	.	3	.	.	3	0	113	1.2656
1	1	2	2	1	2	3	3	126	1.2175
1	3	.	3	3	3	3	3	129	0.3776
2	0	2	3	2	3	0	3	112	0.4629
2	0	0	0	0	0	0	3	117	1.202
2	0	.	1	0	0	1	1	107	0
2	0	3	3	1	0	.	2	119	1.5555
2	3	3	3	3	2	1	0	124	0
2	3	3	3	3	3	2	3	124	0.9623
2	2	1	2	3	1	3	3	106	0.4587
1	.	1	3	1	.	3	0	125	0.2991
2	.	.	1	.	0	.	2	131	1.7748
1	1	1	1	1	0	3	2	122	0.5333
2	0	2	2	1	0	1	3	124	1.0565
2	1	.	1	1	.	0	1	109	1.2573
1	0	1	1	2	3	2	0	101	1.9044
2	1	2	1	1	2	0	3	117	0
1	2	3	2	1	3	3	.	130	0.5061
2	3	3	0	3	.	3	0	109	1.5462
1	1	0	.	.	.	.	0	121	0.8626
1	1	1	0	0	0	1	2	131	0.3387
1	0	1	1	1	2	2	0	123	0
2	1	.	1	2	1	1	1	126	0.8668
2	1	1	0	1	.	1	3	110	0
1	.	1	.	3	.	3	2	125	0.7246
1	1	1	0	0	0	0	2	112	0
1	1	2	1	1	2	3	1	122	0.3476
1	0	.	.	0	0	1	3	121	0.5472
1	0	0	2	2	0	3	0	117	1.0022
2	0	0	3	1	2	1	3	132	1.4334
2	3	2	3	3	2	2	3	107	0.4163
2	.	3	0	3	3	3	3	106	0.4807
1	1	1	1	2	2	2	3	118	0.7643
2	.	2	1	.	.	3	0	109	0.139
1	2	.	3	2	1	2	2	125	0.6642
1	1	2	1	1	2	3	2	121	2.0413
2	.	2	.	0	1	2	3	123	1.026
1	1	2	2	3	2	3	3	119	2.5263
1	2	1	3	.	.	3	2	101	0.7282
1	.	0	3	.	.	3	2	108	0.3598
2	0	2	3	2	3	1	3	125	0.5899
2	1	2	2	0	1	2	1	126	1.4935
2	2	1	1	2	1	2	3	123	0.6113
1	0	1	1	0	1	2	1	115	0.4647
2	2	2	2	2	1	1	2	110	0.4632
1	0	0	2	0	0	1	0	124	1.7284
1	1	1	2	1	1	2	0	110	0.3877
1	2	3	3	0	2	.	2	124	1.6633
2	2	1	2	2	1	0	3	113	1.8186
1	1	0	1	2	1	0	2	104	0
2	.	.	2	.	3	.	2	111	2.2337
2	1	2	1	2	1	0	3	118	0
1	.	2	1	0	3	2	3	112	1.5457
1	.	.	0	0	2	2	0	106	0.5748
1	.	.	3	.	.	.	.	108	0.7509
1	.	1	1	3	3	3	3	121	2.9565
1	2	.	2	2	.	.	0	121	1.4457
1	1	0	0	1	2	3	0	112	0.5566
2	1	2	1	3	3	3	3	119	1.4181
2	0	1	1	2	1	0	0	112	3.9394
1	.	0	0	0	1	.	2	111	0.5047
1	1	0	2	3	2	2	1	132	0.7492
1	1	1	3	1	1	3	3	129	4.7913
2	3	3	1	1	1	0	2	101	2.7473
1	2	1	0	1	1	0	2	125	0.2736
2	1	0	2	0	1	0	0	110	0.5994
2	1	1	3	0	0	1	2	123	0
2	3	0	3	3	0	3	2	118	0.6415
2	1	0	2	3	2	0	1	107	0.5077
1	.	.	3	0	.	0	0	118	0.3304
2	1	2	0	2	2	3	2	109	0.7686
1	3	3	0	1	1	0	0	116	0.597
2	.	1	1	.	3	2	2	126	0
2	1	3	3	1	0	1	3	122	0.3452
1	1	1	1	1	1	1	3	116	0
2	0	2	1	1	.	1	3	120	1.1584
